 empire+state+building the+great+wall+of+china acropolis+of+athens petronas+towers wencelas+square+prague big+ben singapore pyongyang taipei+101 colosseum+rome peking cape+town sydney+harbour pyeongchang pyramids+of+giza mirabell+gardens eiffel+tower burj+khalifa mt.+everest toronto+canada
empire+state+building 5.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
the+great+wall+of+china 0.0 0.0 1.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 2.0 0.0 2.0 0.0 1.0 0.0 0.0 0.0 0.0
acropolis+of+athens 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 3.0 1.0
petronas+towers 0.0 0.0 0.0 2.0 0.0 0.0 0.0 1.0 0.0 2.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0
wencelas+square+prague 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 2.0 0.0 0.0 1.0 0.0 1.0
big+ben 1.0 0.0 0.0 0.0 0.0 3.0 0.0 1.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
singapore 0.0 0.0 2.0 1.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 1.0
pyongyang 0.0 0.0 1.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0
taipei+101 0.0 0.0 0.0 0.0 2.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 2.0 0.0 0.0 1.0 1.0 0.0 0.0
colosseum+rome 0.0 0.0 2.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 1.0 2.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
peking 0.0 1.0 1.0 0.0 0.0 0.0 1.0 2.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0
cape+town 0.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0
sydney+harbour 1.0 0.0 0.0 2.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0
pyeongchang 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 1.0 0.0 0.0 2.0
pyramids+of+giza 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0
mirabell+gardens 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1.0 0.0 0.0 2.0
eiffel+tower 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1.0 0.0 2.0 1.0 0.0 1.0
burj+khalifa 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 1.0
mt.+everest 0.0 0.0 0.0 1.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1.0 0.0 1.0 1.0 0.0
toronto+canada 0.0 0.0 2.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0
